scenario_id,tax_delta,completions_uplift_pct,year,price,rent,price_delta_pct,rent_delta_pct
1,0.0,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
1,0.0,0.0,2019,553221.4376222476,1984.5448468329641,0.0,0.0
1,0.0,0.0,2020,578745.927829891,2022.1147108728903,0.0,0.0
1,0.0,0.0,2021,647014.1548542067,2161.3507081331736,0.0,0.0
1,0.0,0.0,2022,744455.0397638272,2284.549117437428,0.0,0.0
1,0.0,0.0,2023,749093.5458102807,2299.010232827133,0.0,0.0
1,0.0,0.0,2024,759893.9518320435,2330.697331164221,0.0,0.0
2,0.0,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
2,0.0,0.05,2019,552358.0720814847,1978.6173962414784,-0.1560614759387624,-0.2986806068376313
2,0.0,0.05,2020,576848.749302483,2009.4383206327755,-0.32780853154712464,-0.6268877908831794
2,0.0,0.05,2021,643616.6980081644,2139.666577528036,-0.5250977618577513,-1.0032675642846822
2,0.0,0.05,2022,739072.2398731317,2253.0170691642293,-0.723052381028022,-1.3802306999014302
2,0.0,0.05,2023,742236.7257326182,2258.8750045154693,-0.9153489729037179,-1.7457611862087719
2,0.0,0.05,2024,751321.6760079206,2280.601437264713,-1.1280884396376312,-2.149395085739614
3,0.0,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
3,0.0,0.1,2019,551496.2904334752,1972.7092700927271,-0.31183664830255475,-0.5963874668352687
3,0.0,0.1,2020,574958.8793490413,1996.848643851184,-0.6543542336530872,-1.2494873256126748
3,0.0,0.1,2021,640240.1990569973,2118.219753470263,-1.0469563527146897,-1.995555580156816
3,0.0,0.1,2022,733735.1467373145,2221.959595362581,-1.4399651360965326,-2.739688177291355
3,0.0,0.1,2023,735453.5882694202,2219.503550750878,-1.8208617090815338,-3.45830048692235
3,0.0,0.1,2024,742862.8836122752,2231.6788508748837,-2.241242765350049,-4.248448692386663
4,0.0,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
4,0.0,0.15,2019,550636.0893388222,1966.8204001063832,-0.4673261207189139,-0.8931240205967916
